127.0.0.1, 2014-10-16 16:40:28, GET, /admin/static/_2.9.11/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.092311
127.0.0.1, 2014-10-16 16:40:28, GET, /admin/static/_2.9.11/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.109234
127.0.0.1, 2014-10-16 16:40:29, GET, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.144331
127.0.0.1, 2014-10-16 16:40:29, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.202466
127.0.0.1, 2014-10-16 16:40:29, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.305973
127.0.0.1, 2014-10-16 16:40:29, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.421651
127.0.0.1, 2014-10-16 16:40:30, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 1.122322
127.0.0.1, 2014-10-16 16:41:08, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.173099
127.0.0.1, 2014-10-16 16:41:21, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.369072
127.0.0.1, 2014-10-16 16:41:24, GET, /admin/default/design/Practical2, HTTP/1.1, 200, 0.186305
127.0.0.1, 2014-10-16 16:41:30, GET, /Practical2/default/index, HTTP/1.1, 200, 0.718972
127.0.0.1, 2014-10-16 16:41:43, GET, /Practical2/appadmin/index, HTTP/1.1, 200, 0.920229
127.0.0.1, 2014-10-16 16:41:54, GET, /Practical2/appadmin/index, HTTP/1.1, 200, 0.734704
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001323
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/js/web2py.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/js/jquery.js, HTTP/1.1, 200, 0.005225
